"id","belief","exposure","peers","expert","between","degree","closeness","hub","coreness","cluster"
1,0,0.445015757173661,0.866666666666667,0,2.13965099228257,15,0.012987012987013,0.402554472925387,13,1
2,1,0.589650024879748,0.789473684210526,0,2.46604214498951,19,0.0136986301369863,0.495297923322503,13,1
3,1,0.935312655498424,0.794117647058823,0,40.6666454961734,34,0.0172413793103448,0.922314911733686,16,1
4,1,0.980593796649527,0.756756756756757,0,56.1300248670605,37,0.0181818181818182,0.944525133491134,16,1
5,1,0.801957206833637,0.740740740740741,0,20.947863199179,27,0.0153846153846154,0.685911348581783,13,1
6,1,0.686681041632111,0.818181818181818,0,19.6401583066057,22,0.0142857142857143,0.59084779873665,13,1
7,1,0.863493116603085,0.758620689655172,0,30.1983603384919,29,0.0158730158730159,0.771334812278147,15,1
8,1,0.920882401724996,0.727272727272727,0,34.2635957681236,33,0.0169491525423729,0.891699431820786,16,2
9,1,0.571736606402388,0.777777777777778,0,2.1439661215977,18,0.0135135135135135,0.469713699430458,13,1
10,1,1,0.743589743589744,0,67.4527081535596,39,0.0188679245283019,1,16,1
11,1,0.614363907779068,0.789473684210526,0,2.46604214498951,19,0.0136986301369863,0.495297923322503,13,1
12,0,0.580029855697462,0.842105263157895,0,7.3587634100792,19,0.0136986301369863,0.511565348394274,13,2
13,1,0.375518328080942,0.846153846153846,0,0.573144399460189,13,0.0126582278481013,0.357978316501414,13,1
14,1,0.688007961519323,0.863636363636364,0,3.16057393615443,22,0.0142857142857143,0.675664576909163,16,3
15,1,0.955879913750207,0.8,0,46.5710360617482,35,0.0175438596491228,0.946186646375537,16,3
16,0,0.49659976778902,0.875,0,1.35546295809454,16,0.0131578947368421,0.412404245928193,13,1
17,0,0.462265715707414,0.8,0,0.924127626759206,15,0.012987012987013,0.39667773281656,13,1
18,1,0.720517498756013,0.826086956521739,0,3.55556454496083,23,0.0144927536231884,0.701517503033989,16,3
19,1,0.665616188422624,0.857142857142857,0,6.0599583537664,21,0.0140845070422535,0.614831491325381,16,3
20,1,0.454635926355946,0.866666666666667,0,0.854780307411886,15,0.012987012987013,0.414181157876327,13,1
21,1,0.498424282633936,0.6875,0,1.68747641247641,16,0.0131578947368421,0.403803380715939,13,1
22,0,0.357107314645878,0.769230769230769,0,0.968815395131184,13,0.0126582278481013,0.353286001698861,13,1
23,1,0.855863327251617,0.758620689655172,0,25.0708595011227,29,0.0158730158730159,0.741053529368639,13,1
24,1,0.91574058716205,0.71875,0,32.439961732454,32,0.0166666666666667,0.852303110863215,16,3
25,1,0.793498092552662,0.769230769230769,0,16.952246681194,26,0.0151515151515152,0.667369205765746,13,1
26,1,0.60109470890695,0.842105263157895,0,4.96387439386665,19,0.0136986301369863,0.55079805777775,16,3
27,0,0.639077790678388,0.9,0,2.18086069703717,20,0.0138888888888889,0.613413142541146,16,3
28,1,0.835793663957539,0.785714285714286,0,32.729695256011,28,0.015625,0.763316865710643,16,1
29,1,0.879250290263725,0.8,0,21.1319917727038,30,0.0161290322580645,0.849317604988928,16,3
30,1,0.571736606402388,0.888888888888889,0,1.02772494962897,18,0.0135135135135135,0.56271138151028,16,3
31,0,0.128213634101841,0.875,0,0.452091427091427,8,0.0117647058823529,0.258360825979291,8,2
32,1,0.957372698623321,0.742857142857143,0,44.4439529109808,35,0.0175438596491228,0.943095104298375,16,3
33,0,0.33488140653508,0.75,0,0.0714285714285714,12,0.0125,0.336672416007371,12,2
34,1,0.568087576712556,0.888888888888889,0,0.957660286336757,18,0.0135135135135135,0.566204378094867,16,3
35,0,0.378172167855366,0.769230769230769,0,1.23534469343293,13,0.0126582278481013,0.40873667104144,12,3
36,1,0.664952728479018,0.80952380952381,0,2.32322764381588,21,0.0140845070422535,0.63777284576765,16,3
37,0,0.371205838447504,0.769230769230769,0,0.229004329004329,13,0.0126582278481013,0.363345887656434,12,2
38,1,0.709902139658318,0.869565217391304,1,3.38562615002244,23,0.0144927536231884,0.711581100134253,16,3
39,1,0.805274506551667,0.814814814814815,0,10.1316310223431,27,0.0153846153846154,0.784488876203,16,3
40,0,0.616188422623984,0.894736842105263,0,4.59612229302632,19,0.0136986301369863,0.56742705307078,16,3
41,0,0,0.833333333333333,0,0,6,0.0114942528735632,0.16779030003172,6,3
42,1,0.68087576712556,0.909090909090909,0,6.86142961642188,22,0.0142857142857143,0.657588841449046,16,3
43,1,0.689666611378338,0.863636363636364,0,2.11694811752861,22,0.0142857142857143,0.681677785029491,16,3
44,1,0.641068170509206,0.7,0,9.14567135507538,20,0.0138888888888889,0.551067273676325,13,2
45,0,0.625476861834467,0.85,0,2.73574470192117,20,0.0138888888888889,0.609097433457477,16,3
46,0,0.369215458616686,0.769230769230769,0,0.229004329004329,13,0.0126582278481013,0.363345887656434,12,2
47,1,0.417482169514016,0.714285714285714,0,1.00313662945242,14,0.0128205128205128,0.389628456836422,12,2
