"n","power","wtest"
30,0.266,"binary"
40,0.402,"binary"
50,0.56,"binary"
60,0.602,"binary"
70,0.634,"binary"
80,0.744,"binary"
90,0.764,"binary"
100,0.848,"binary"
110,0.852,"binary"
120,0.916,"binary"
130,0.898,"binary"
140,0.934,"binary"
150,0.96,"binary"
160,0.954,"binary"
170,0.956,"binary"
180,0.974,"binary"
190,0.99,"binary"
200,0.988,"binary"
210,0.988,"binary"
220,0.996,"binary"
230,0.996,"binary"
240,0.998,"binary"
250,1,"binary"
260,1,"binary"
270,0.998,"binary"
280,1,"binary"
290,1,"binary"
300,1,"binary"
30,0.392367737897708,"domains"
40,0.503666398521552,"domains"
50,0.602754603091197,"domains"
60,0.687654592024317,"domains"
70,0.758218059057885,"domains"
80,0.815421378710663,"domains"
90,0.860832913633614,"domains"
100,0.896242842543301,"domains"
110,0.92342706813903,"domains"
120,0.944012195147808,"domains"
130,0.959411247905911,"domains"
140,0.970805415961433,"domains"
150,0.979153276088914,"domains"
160,0.985214466730315,"domains"
170,0.989579241855576,"domains"
180,0.992698656157939,"domains"
190,0.99491246906129,"domains"
200,0.996473402813222,"domains"
210,0.997567352514299,"domains"
220,0.998329697851676,"domains"
230,0.998858145059378,"domains"
240,0.999222634759668,"domains"
250,0.999472857952699,"domains"
260,0.999643875892226,"domains"
270,0.999760269876861,"domains"
280,0.999839171903416,"domains"
290,0.999892456371875,"domains"
300,0.999928311153991,"domains"
30,0.682,"expertise"
40,0.76,"expertise"
50,0.866,"expertise"
60,0.922,"expertise"
70,0.962,"expertise"
80,0.968,"expertise"
90,0.984,"expertise"
100,0.984,"expertise"
110,1,"expertise"
120,0.998,"expertise"
130,0.998,"expertise"
140,1,"expertise"
150,1,"expertise"
160,1,"expertise"
170,1,"expertise"
180,1,"expertise"
190,1,"expertise"
200,1,"expertise"
210,1,"expertise"
220,1,"expertise"
230,1,"expertise"
240,1,"expertise"
250,1,"expertise"
260,1,"expertise"
270,1,"expertise"
280,1,"expertise"
290,1,"expertise"
300,1,"expertise"
